country;geoname_id;latitude;longitude;north;east;south;west;en;cs;ru
IE;2964574;53.33306;-6.24889;53.464390988995724;-6.028277395819914;53.201721011004274;-6.469500604180086;Dublin;Dublin;Дублин
IS;3413829;64.13548;-21.89541;64.18021846130182;-21.79267949898299;64.09073278608437;-21.99813776175921;Reykjavik;Reykjavík;Рейкьявик
IT;3169070;41.89193;12.51133;42.05054833023755;12.726343428495486;41.765760675629664;12.334658845099607;Rome;Řím;Рим
XK;786714;42.67272;21.16688;42.768954088482104;21.297972315763925;42.57648160010589;21.035783177400074;Pristina;Priština;Приштина
LI;3042030;47.14151;9.52154;47.15652883286482;9.529287753765947;47.12287222030004;9.502771362950153;Vaduz;Vaduz;Вадуц
LT;593116;54.68916;25.2798;54.78466169411221;25.44540644509716;54.59366572882319;25.114190570283643;Vilnius;Vilnius;Вильнюс
LU;2960316;49.61167;6.13;49.64735913696301;6.185124292061799;49.57597426303699;6.074875707938201;Luxembourg;Lucemburk;Люксембург
LV;456172;56.946;24.10589;57.057793396697754;24.31146549998439;56.834214834113446;23.900318862808607;Riga;Riga;Рига
MC;2993458;43.73333;7.41667;43.756699484874346;7.449017154134369;43.70996711512565;7.384316245865632;Monaco;Monaco-Ville;Монако
MD;618426;47.00556;28.8575;47.108982560641415;29.009463052425108;46.90212863935859;28.705536947574895;Chişinău;Kišiněv;Кишинёв
ME;3193044;42.44111;19.26361;42.4889129988081;19.328435319624113;42.393309201191904;19.198786880375884;Podgorica;Podgorica;Подгорица
MK;785842;41.99646;21.43141;42.085829616833436;21.551832291530005;41.90708438316656;21.310981708469996;Skopje;Skopje;Скопье
MT;2562305;35.89972;14.51472;35.909777404986976;14.527136929476475;35.88966699501302;14.502307470523524;Valletta;Valletta;Валлетта
NL;2759794;52.37403;4.88969;52.48581648590481;5.073263264070009;52.26223792333679;4.706113719572571;Amsterdam;Amsterdam;Амстердам
NO;3143244;59.91273;10.74609;60.01155788286756;10.9438148725914;59.81390211713245;10.548365127408601;Oslo;Oslo;Осло
PL;756135;52.22977;21.01178;52.39910482575921;21.289306680367055;52.06043692364439;20.734256704642746;Warsaw;Varšava;Варшава
PT;2267057;38.71667;-9.13333;38.8100232000407;-9.013526947547053;38.62331019995929;-9.253139652452948;Lisbon;Lisabon;Лиссабон
RO;683506;44.43225;26.10626;44.61008551091711;26.356068772048133;44.254409727738995;25.856455642014367;Bucharest;Bukurešť;Бухарест
RS;792680;44.80401;20.46513;44.95048147244717;20.672094238254452;44.65753139708662;20.258157836940946;Belgrade;Bělehrad;Белград
RU;524901;55.75222;37.61556;56.170475217096666;38.366831349198904;55.33396918290333;36.8642798508011;Moscow;Moskva;Москва
SE;2673730;59.33258;18.0649;59.47787337841234;18.35099306257765;59.187279693938265;17.77881297913995;Stockholm;Stockholm;Стокгольм
SI;3196359;46.05108;14.50513;46.14215334221252;14.644676753132543;45.989988620777154;14.41948562260484;Ljubljana;Lublaň;Любляна
SK;3060972;48.14816;17.10674;48.232651698614376;17.23358073651836;48.06367637968262;16.979904981255043;Bratislava;Bratislava;Братислава
SM;3168070;43.93667;12.44639;43.94445572829145;12.45720648525327;43.92887827170855;12.43557151474673;San Marino;San Marino;Сан-Марино
UA;703448;50.45466;30.5238;50.671771058064365;30.86636729122202;50.23755382170124;30.181224871863982;Kiev;Kyjev;Киев
VA;6691831;41.90236;12.45332;41.90325625890684;12.454533174238417;41.90145752915655;12.452116415300182;Vatican City;Vatikán;Ватикан
AG;3576022;17.11717;-61.84573;17.137280409973947;-61.82468523354123;17.097059590026056;-61.866774766458775;St. John's;Saint John's;Сент-Джонс
BS;3571824;25.05823;-77.34306;25.12005432418843;-77.27478443709161;24.996412095656652;-77.41134227189276;Nassau;Nassau;Нассау
BB;3374036;13.1;-59.61667;13.140720476622134;-59.574851271001634;13.059279523377866;-59.65848212899837;Bridgetown;Bridgetown;Бриджтаун
BZ;3582672;17.25;-88.76667;17.264914279202365;-88.75104871681073;17.235085720797635;-88.78228468318927;Belmopan;Belmopan;Бельмопан
CA;6094817;45.41117;-75.69812;45.52808251303635;-75.53122670981874;45.294247645499254;-75.86500970985905;Ottawa;Ottawa;Оттава
CR;3621849;9.93333;-84.08333;10.008445075517747;-84.00706082086339;9.858221524482252;-84.15960577913663;San José;San José;Сан-Хосе
CU;3553478;23.13302;-82.38304;23.323962767133676;-82.17510606411926;22.942076724826716;-82.59097669955261;Havana;Havana;Гавана
DM;3575635;15.30174;-61.38808;15.317950423594183;-61.37127176679514;15.285523361866218;-61.40489324174985;Roseau;Roseau;Розо
DO;3492908;18.50012;-69.98857;18.692699399047285;-69.78527353492039;18.307544356807597;-70.19187642845851;Santo Domingo;Santo Domingo;Санто-Доминго
